dataset_type,video_name,min_cutoff,beta,d_cutoff,frame_count,noise_reduction,displacement_reduction,shoulder_velocity_retention
fall,video (21).avi,2.0,0.02,1.0,1130,9.292590329476392,39.58229525335892,62.21104278987845
fall,video (22).avi,2.0,0.02,1.0,987,6.835860602028299,35.579115604891896,68.45662287080872
fall,video (23).avi,2.0,0.02,1.0,1146,-0.22299716979903295,36.63900988340969,61.25354829671288
fall,video (24).avi,2.0,0.02,1.0,829,4.060264508739497,31.28466872177713,65.64184220115382
fall,video (25).avi,2.0,0.02,1.0,988,1.8192048987910492,38.8747446995532,69.14392532302033
fall,video (26).avi,2.0,0.02,1.0,499,2.6050785641207552,32.555456219109104,68.33328021937255
fall,video (27).avi,2.0,0.02,1.0,811,-1.2301030400454493,37.94949440116234,64.6258867769004
fall,video (28).avi,2.0,0.02,1.0,505,-4.306790255480375,31.971842041556908,63.39363829179921
fall,video (29).avi,2.0,0.02,1.0,1221,1.068660572647795,33.58493252469067,68.05655256166555
fall,video (3).avi,2.0,0.02,1.0,304,-3.953179069316981,46.28235197259472,46.35159160777763
fall,video (30).avi,2.0,0.02,1.0,1247,2.171631587965095,45.15573721318225,67.30784445191945
fall,video (4).avi,2.0,0.02,1.0,207,-2.277020438236943,41.54193388463383,48.174732662559
fall,video (5).avi,2.0,0.02,1.0,181,1.7813778517625556,45.31939906290465,53.50125577890073
fall,video (6).avi,2.0,0.02,1.0,239,1.0561288858175422,37.08008352913586,57.08064240365294
fall,video (7).avi,2.0,0.02,1.0,216,-2.029657527605777,29.36683004171954,70.65951821792305
fall,video (8).avi,2.0,0.02,1.0,285,3.643881446708852,33.93368106663678,88.01645398905885
fall,video (9).avi,2.0,0.02,1.0,336,0.37283777038527033,36.023988237046,71.60708959067998
normal,20060723sfjffinallseriousness_run_f_cm_np2_ba_med_2.avi,3.0,0.02,1.0,48,11.089345275733287,56.35490604498066,31.266541192613616
normal,20060723sfjffjewcy_walk_f_cm_np1_ba_med_2.avi,3.0,0.02,1.0,49,38.001354793147094,53.09589525985334,32.00501536897887
normal,20060723sfjffjewcy_walk_f_nm_np1_fr_med_1.avi,3.0,0.02,1.0,74,31.83037484984509,59.149072614397966,37.99461627326183
normal,20060723sfjffjewgotmail_walk_f_cm_np2_ba_med_2.avi,3.0,0.02,1.0,48,-0.8775916073131329,59.79406812442427,42.27746350912028
normal,20060723sfjffkillerskiss_walk_f_cm_np1_fr_med_1.avi,3.0,0.02,1.0,84,,,
normal,20060723sfjffschmoozer_walk_f_cm_np1_ri_med_1.avi,3.0,0.02,1.0,218,,,
normal,20060723sfjffschmoozer_walk_f_cm_np2_ri_med_0.avi,3.0,0.02,1.0,37,,,
normal,50_FIRST_DATES_run_f_nm_np1_ba_med_20.avi,3.0,0.02,1.0,79,6.286134807776078,50.69799206127467,44.27538781291388
normal,50_FIRST_DATES_walk_f_cm_np1_ri_med_31.avi,3.0,0.02,1.0,82,43.387245014319,59.677164681033965,29.573916401543155
normal,50_FIRST_DATES_wave_f_cm_np1_fr_med_0.avi,3.0,0.02,1.0,50,,,
